Date,Cage,ID,Treatment,Length,Width,Survival_Censor
03/24/2025,1,L,Control,1.2,0.8,0
03/24/2025,1,R,Control,0,0,0
03/24/2025,1,N,Control,0,0,0
03/24/2025,1,LR,Control,0.8,0.6,0
03/24/2025,2,L,HDACi,0,0,0
03/24/2025,2,R,HDACi,0,0,0
03/24/2025,2,N,HDACi,1.1,0.7,0
03/24/2025,2,LR,HDACi,0,0,0
03/24/2025,3,L,aPD1,0,0,0
03/24/2025,3,R,aPD1,1.4,1,0
03/24/2025,3,N,aPD1,0,0,0
03/24/2025,3,LR,aPD1,0,0,0
03/24/2025,4,L,HDACi + PD1,0,0,0
03/24/2025,4,R,HDACi + PD1,0,0,0
03/24/2025,4,N,HDACi + PD1,1.2,0.9,0
03/24/2025,4,LR,HDACi + PD1,0,0,0
03/24/2025,5,L,Control,1.4,0.9,0
03/24/2025,5,R,Control,0,0,0
03/24/2025,5,N,Control,0,0,0
03/24/2025,5,LR,Control,0,0,0
03/24/2025,6,L,HDACi,1.4,1,0
03/24/2025,6,R,HDACi,0,0,0
03/24/2025,6,N,HDACi,0,0,0
03/24/2025,6,LR,HDACi,0,0,0
03/24/2025,7,L,aPD1,1.1,0.9,0
03/24/2025,7,R,aPD1,0,0,0
03/24/2025,7,N,aPD1,0,0,0
03/24/2025,7,LR,aPD1,0,0,0
03/24/2025,8,L,HDACi + PD1,0,0,0
03/24/2025,8,R,HDACi + PD1,1.3,1,0
03/24/2025,8,N,HDACi + PD1,0,0,0
03/24/2025,8,LR,HDACi + PD1,0,0,0
03/26/2025,1,L,Control,2,1.3,0
03/26/2025,1,R,Control,1.1,1,0
03/26/2025,1,N,Control,0,0,0
03/26/2025,1,LR,Control,1.4,1.1,0
03/26/2025,2,L,HDACi,0,0,0
03/26/2025,2,R,HDACi,1,0.9,0
03/26/2025,2,N,HDACi,1.9,1.4,0
03/26/2025,2,LR,HDACi,0,0,0
03/26/2025,3,L,aPD1,1.2,1.1,0
03/26/2025,3,R,aPD1,2,1.9,0
03/26/2025,3,N,aPD1,0,0,0
03/26/2025,3,LR,aPD1,1.3,0.9,0
03/26/2025,4,L,HDACi + PD1,0,0,0
03/26/2025,4,R,HDACi + PD1,1.1,0.9,0
03/26/2025,4,N,HDACi + PD1,1.9,1.9,0
03/26/2025,4,LR,HDACi + PD1,0,0,0
03/26/2025,5,L,Control,2,1.9,0
03/26/2025,5,R,Control,0,0,0
03/26/2025,5,N,Control,1.4,1.2,0
03/26/2025,5,LR,Control,0,0,0
03/26/2025,6,L,HDACi,2.1,1.9,0
03/26/2025,6,R,HDACi,1.3,1.2,0
03/26/2025,6,N,HDACi,0,0,0
03/26/2025,6,LR,HDACi,1.2,0.9,0
03/26/2025,7,L,aPD1,1.9,1.8,0
03/26/2025,7,R,aPD1,0,0,0
03/26/2025,7,N,aPD1,1.2,1.2,0
03/26/2025,7,LR,aPD1,0,0,0
03/26/2025,8,L,HDACi + PD1,1.3,1.1,0
03/26/2025,8,R,HDACi + PD1,1.9,1.9,0
03/26/2025,8,N,HDACi + PD1,0,0,0
03/26/2025,8,LR,HDACi + PD1,0,0,0
03/28/2025,1,L,Control,3,2,0
03/28/2025,1,R,Control,2.1,1.7,0
03/28/2025,1,N,Control,1.1,1,0
03/28/2025,1,LR,Control,2.1,1.8,0
03/28/2025,2,L,HDACi,1.2,1.1,0
03/28/2025,2,R,HDACi,1.9,1.4,0
03/28/2025,2,N,HDACi,2.6,1.9,0
03/28/2025,2,LR,HDACi,1.1,1.1,0
03/28/2025,3,L,aPD1,1.9,1.8,0
03/28/2025,3,R,aPD1,2.9,2.5,0
03/28/2025,3,N,aPD1,1.1,0.9,0
03/28/2025,3,LR,aPD1,1.8,1.4,0
03/28/2025,4,L,HDACi + PD1,1,1,0
03/28/2025,4,R,HDACi + PD1,2.1,1.4,0
03/28/2025,4,N,HDACi + PD1,2.8,2.3,0
03/28/2025,4,LR,HDACi + PD1,1.1,1,0
03/28/2025,5,L,Control,3.1,2.6,0
03/28/2025,5,R,Control,1.2,1.1,0
03/28/2025,5,N,Control,2.1,1.9,0
03/28/2025,5,LR,Control,1.4,1.3,0
03/28/2025,6,L,HDACi,3.1,2.5,0
03/28/2025,6,R,HDACi,1.9,1.8,0
03/28/2025,6,N,HDACi,1.2,0.9,0
03/28/2025,6,LR,HDACi,1.9,1.4,0
03/28/2025,7,L,aPD1,2.8,2.4,0
03/28/2025,7,R,aPD1,1.1,0.8,0
03/28/2025,7,N,aPD1,1.9,1.8,0
03/28/2025,7,LR,aPD1,1.2,1,0
03/28/2025,8,L,HDACi + PD1,1.8,1.7,0
03/28/2025,8,R,HDACi + PD1,2.9,2.3,0
03/28/2025,8,N,HDACi + PD1,1,1,0
03/28/2025,8,LR,HDACi + PD1,1.3,0.9,0
03/31/2025,1,L,Control,5,3.2,0
03/31/2025,1,R,Control,3.1,2.2,0
03/31/2025,1,N,Control,2.1,1.8,0
03/31/2025,1,LR,Control,3,2.5,0
03/31/2025,2,L,HDACi,2.1,1.9,0
03/31/2025,2,R,HDACi,2.5,2.1,0
03/31/2025,2,N,HDACi,3.2,2.4,0
03/31/2025,2,LR,HDACi,1.8,1.7,0
03/31/2025,3,L,aPD1,2.6,2.1,0
03/31/2025,3,R,aPD1,3.6,3,0
03/31/2025,3,N,aPD1,1.6,1.3,0
03/31/2025,3,LR,aPD1,2.1,1.9,0
03/31/2025,4,L,HDACi + PD1,1.3,1.1,0
03/31/2025,4,R,HDACi + PD1,2.5,1.9,0
03/31/2025,4,N,HDACi + PD1,3.1,2.9,0
03/31/2025,4,LR,HDACi + PD1,1.6,1.2,0
03/31/2025,5,L,Control,4.1,3.3,0
03/31/2025,5,R,Control,1.9,1.8,0
03/31/2025,5,N,Control,3,2.4,0
03/31/2025,5,LR,Control,2.1,2,0
03/31/2025,6,L,HDACi,3.4,3.1,0
03/31/2025,6,R,HDACi,2.4,2.1,0
03/31/2025,6,N,HDACi,1.9,1.4,0
03/31/2025,6,LR,HDACi,2.7,1.9,0
03/31/2025,7,L,aPD1,3.4,2.9,0
03/31/2025,7,R,aPD1,1.4,1.1,0
03/31/2025,7,N,aPD1,2.2,2.1,0
03/31/2025,7,LR,aPD1,1.9,1.4,0
03/31/2025,8,L,HDACi + PD1,2.4,2.3,0
03/31/2025,8,R,HDACi + PD1,3.6,3.1,0
03/31/2025,8,N,HDACi + PD1,1.6,1.4,0
03/31/2025,8,LR,HDACi + PD1,1.7,1.1,0
04/02/2025,1,L,Control,8,4.5,0
04/02/2025,1,R,Control,4.9,3.4,0
04/02/2025,1,N,Control,3.9,2.7,0
04/02/2025,1,LR,Control,4.9,3.4,0
04/02/2025,2,L,HDACi,3,2.3,0
04/02/2025,2,R,HDACi,3.1,2.8,0
04/02/2025,2,N,HDACi,3.9,2.9,0
04/02/2025,2,LR,HDACi,2.5,2.1,0
04/02/2025,3,L,aPD1,3.2,2.9,0
04/02/2025,3,R,aPD1,4.5,3.8,0
04/02/2025,3,N,aPD1,2.3,1.9,0
04/02/2025,3,LR,aPD1,2.9,2.4,0
04/02/2025,4,L,HDACi + PD1,2.1,1.9,0
04/02/2025,4,R,HDACi + PD1,3,2.5,0
04/02/2025,4,N,HDACi + PD1,4.1,3.3,0
04/02/2025,4,LR,HDACi + PD1,2.3,1.8,0
04/02/2025,5,L,Control,5.6,4.5,0
04/02/2025,5,R,Control,2.6,2.4,0
04/02/2025,5,N,Control,4,3.1,0
04/02/2025,5,LR,Control,3.2,2.9,0
04/02/2025,6,L,HDACi,4,3.8,0
04/02/2025,6,R,HDACi,3.2,2.9,0
04/02/2025,6,N,HDACi,2.4,2,0
04/02/2025,6,LR,HDACi,3.4,2.5,0
04/02/2025,7,L,aPD1,4.1,3.4,0
04/02/2025,7,R,aPD1,2.1,1.9,0
04/02/2025,7,N,aPD1,2.9,2.8,0
04/02/2025,7,LR,aPD1,2.7,2.1,0
04/02/2025,8,L,HDACi + PD1,3,2.7,0
04/02/2025,8,R,HDACi + PD1,4.1,3.4,0
04/02/2025,8,N,HDACi + PD1,2.1,2,0
04/02/2025,8,LR,HDACi + PD1,2.4,1.9,0
04/04/2025,1,L,Control,11,6.1,0
04/04/2025,1,R,Control,6.6,4.2,0
04/04/2025,1,N,Control,4.9,3.9,0
04/04/2025,1,LR,Control,6.3,4.3,0
04/04/2025,2,L,HDACi,4.1,3.1,0
04/04/2025,2,R,HDACi,4.2,3.7,0
04/04/2025,2,N,HDACi,5.1,4,0
04/04/2025,2,LR,HDACi,3.4,3.1,0
04/04/2025,3,L,aPD1,4.1,3.7,0
04/04/2025,3,R,aPD1,5.4,4.4,0
04/04/2025,3,N,aPD1,3.1,2.9,0
04/04/2025,3,LR,aPD1,4,3.2,0
04/04/2025,4,L,HDACi + PD1,3,2.7,0
04/04/2025,4,R,HDACi + PD1,3.6,3.1,0
04/04/2025,4,N,HDACi + PD1,4.9,4.1,0
04/04/2025,4,LR,HDACi + PD1,2.9,2.1,0
04/04/2025,5,L,Control,7,5.6,0
04/04/2025,5,R,Control,3.7,3.4,0
04/04/2025,5,N,Control,5.6,4.3,0
04/04/2025,5,LR,Control,4.4,3.9,0
04/04/2025,6,L,HDACi,5.1,4.8,0
04/04/2025,6,R,HDACi,4.3,4,0
04/04/2025,6,N,HDACi,3.3,3.1,0
04/04/2025,6,LR,HDACi,4.3,3.6,0
04/04/2025,7,L,aPD1,5.2,4.1,0
04/04/2025,7,R,aPD1,3.1,2.9,0
04/04/2025,7,N,aPD1,4.1,3.9,0
04/04/2025,7,LR,aPD1,3.7,3.3,0
04/04/2025,8,L,HDACi + PD1,4,3.4,0
04/04/2025,8,R,HDACi + PD1,4.9,3.7,0
04/04/2025,8,N,HDACi + PD1,2.9,2.6,0
04/04/2025,8,LR,HDACi + PD1,2.8,2.5,0
04/07/2025,1,L,Control,13.4,8.2,0
04/07/2025,1,R,Control,8.8,6.1,0
04/07/2025,1,N,Control,6.2,5.5,0
04/07/2025,1,LR,Control,7.9,5.6,0
04/07/2025,2,L,HDACi,5.1,4.1,0
04/07/2025,2,R,HDACi,5.2,4.8,0
04/07/2025,2,N,HDACi,6.2,5.1,0
04/07/2025,2,LR,HDACi,4.5,3.9,0
04/07/2025,3,L,aPD1,5.3,4.6,0
04/07/2025,3,R,aPD1,6,5,0
