Date,Cage,ID,Treatment,Dose,Length,Width,Survival_Censor
24-Mar,1,L,Control,0,0,0,0
24-Mar,1,R,Control,0,1.2,0.8,0
24-Mar,1,N,Control,0,0,0,0
24-Mar,1,LR,Control,0,0,0,0
24-Mar,2,L,HDACi,10,0,0,0
24-Mar,2,R,HDACi,10,0,0,0
24-Mar,2,N,HDACi,10,0,0,0
24-Mar,2,LR,HDACi,10,1,1,0
24-Mar,3,L,HDACi,50,0,0,0
24-Mar,3,R,HDACi,50,0,0,0
24-Mar,3,N,HDACi,50,0,0,0
24-Mar,3,LR,HDACi,50,0,0,0
24-Mar,4,L,HDACi,100,0,0,0
24-Mar,4,R,HDACi,100,0,0,0
24-Mar,4,N,HDACi,100,0,0,0
24-Mar,4,LR,HDACi,100,0,0,0
26-Mar,1,L,Control,0,2.4,1.6,0
26-Mar,1,R,Control,0,0,0,0
26-Mar,1,N,Control,0,0.8,0.6,0
26-Mar,1,LR,Control,0,0,0,0
26-Mar,2,L,HDACi,10,0,0,0
26-Mar,2,R,HDACi,10,0,0,0
26-Mar,2,N,HDACi,10,2,1.8,0
26-Mar,2,LR,HDACi,10,1.1,0.6,0
26-Mar,3,L,HDACi,50,0,0,0
26-Mar,3,R,HDACi,50,0.6,0.8,0
26-Mar,3,N,HDACi,50,0,0,0
26-Mar,3,LR,HDACi,50,0,0,0
26-Mar,4,L,HDACi,100,0,0,0
26-Mar,4,R,HDACi,100,0,0,0
26-Mar,4,N,HDACi,100,0,0,0
26-Mar,4,LR,HDACi,100,0,0,0
28-Mar,1,L,Control,0,5.1,4.1,0
28-Mar,1,R,Control,0,1.8,1.4,0
28-Mar,1,N,Control,0,2,1.3,0
28-Mar,1,LR,Control,0,0.6,0.2,0
28-Mar,2,L,HDACi,10,0.8,1,0
28-Mar,2,R,HDACi,10,0,0,0
28-Mar,2,N,HDACi,10,3.3,2.3,0
28-Mar,2,LR,HDACi,10,2,1.3,0
28-Mar,3,L,HDACi,50,0,0,0
28-Mar,3,R,HDACi,50,0.6,0.8,0
28-Mar,3,N,HDACi,50,0,0,0
28-Mar,3,LR,HDACi,50,0,0,0
28-Mar,4,L,HDACi,100,1.2,1.2,0
28-Mar,4,R,HDACi,100,0,0,0
28-Mar,4,N,HDACi,100,0,0,0
28-Mar,4,LR,HDACi,100,0,0,0
31-Mar,1,L,Control,0,11,7.9,0
31-Mar,1,R,Control,0,2.6,2.3,0
31-Mar,1,N,Control,0,4.4,2.6,0
31-Mar,1,LR,Control,0,1.2,0.8,0
31-Mar,2,L,HDACi,10,1.8,1.8,0
31-Mar,2,R,HDACi,10,1.1,0.6,0
31-Mar,2,N,HDACi,10,4.2,3.9,0
31-Mar,2,LR,HDACi,10,2.3,1.3,0
31-Mar,3,L,HDACi,50,0.8,0.8,0
31-Mar,3,R,HDACi,50,1.5,1.4,0
31-Mar,3,N,HDACi,50,1.2,1,0
31-Mar,3,LR,HDACi,50,0,0,0
31-Mar,4,L,HDACi,100,2.5,1.9,0
31-Mar,4,R,HDACi,100,0,0,0
31-Mar,4,N,HDACi,100,0,0,0
31-Mar,4,LR,HDACi,100,1.2,0.8,0
02-Apr,1,L,Control,0,13.3,9.9,0
02-Apr,1,R,Control,0,4.8,3.9,0
02-Apr,1,N,Control,0,5.2,3.4,0
02-Apr,1,LR,Control,0,2.6,1.9,0
02-Apr,2,L,HDACi,10,2.4,2.2,0
02-Apr,2,R,HDACi,10,1.9,1.4,0
02-Apr,2,N,HDACi,10,7.2,5.2,0
02-Apr,2,LR,HDACi,10,4,2.2,0
02-Apr,3,L,HDACi,50,1.8,1.4,0
02-Apr,3,R,HDACi,50,2.4,2.1,0
02-Apr,3,N,HDACi,50,2.3,1.9,0
02-Apr,3,LR,HDACi,50,1.2,1,0
02-Apr,4,L,HDACi,100,3.1,2.3,0
02-Apr,4,R,HDACi,100,0.8,0.6,0
02-Apr,4,N,HDACi,100,1,0.7,0
02-Apr,4,LR,HDACi,100,2,1.4,0
04-Apr,1,L,Control,0,16.1,12.1,0
04-Apr,1,R,Control,0,6.5,5.4,0
04-Apr,1,N,Control,0,7.2,4.9,0
04-Apr,1,LR,Control,0,5.2,4.9,0
04-Apr,2,L,HDACi,10,4.1,3.2,0
04-Apr,2,R,HDACi,10,2.9,2.8,0
04-Apr,2,N,HDACi,10,11.1,7.9,0
04-Apr,2,LR,HDACi,10,6.1,4.1,0
04-Apr,3,L,HDACi,50,3.1,2.9,0
04-Apr,3,R,HDACi,50,4.1,2.9,0
04-Apr,3,N,HDACi,50,4,3.8,0
04-Apr,3,LR,HDACi,50,2,1.9,0
04-Apr,4,L,HDACi,100,5.2,3.3,0
04-Apr,4,R,HDACi,100,1.2,1.1,0
04-Apr,4,N,HDACi,100,1.8,1.2,0
04-Apr,4,LR,HDACi,100,2.8,1.8,0
07-Apr,1,L,Control,0,18.9,15.1,1
