Day,Mouse Tag,Treatment,Tumor Length (mm),Tumor Width (mm),Necrotic
0,L,None,0,0,N
0,R,None,0,0,N
0,N,None,0,0,N
0,LR,None,0,0,N
0,L,Drug,0,0,N
0,R,Drug,0,0,N
0,N,Drug,0,0,N
0,LR,Drug,0,0,N
10,L,None,1,1.2,N
10,R,None,0.8,0.6,N
10,N,None,1.4,1.2,N
10,LR,None,2.1,1.6,N
10,L,Drug,0.8,0.8,N
10,R,Drug,1.1,1.1,N
10,N,Drug,3.4,2.2,N
10,LR,Drug,2,1.4,N
15,L,None,2.16,1.8,N
15,R,None,1.44,1.08,N
15,N,None,2.52,2.16,N
15,LR,None,3.78,2.88,N
15,L,Drug,1.44,1.44,N
15,R,Drug,1.98,1.98,N
15,N,Drug,6.12,3.96,Y
15,LR,Drug,3.6,2.52,N
20,L,None,3.16,2.8,N
20,R,None,2.592,1.944,N
20,N,None,4.536,3.888,N
20,LR,None,6.804,5.184,Y
20,L,Drug,2.592,2.592,N
20,R,Drug,3.564,3.564,N
20,N,Drug,3.8,3.2,N
20,LR,Drug,6.48,4.536,N
25,L,None,4.16,3.8,N
25,R,None,4.6656,3.4992,N
25,N,None,8.1648,6.9984,N
25,LR,None,5.2,4.8,Y
25,L,Drug,4.6656,4.6656,N
25,R,Drug,6.4152,6.4152,N
25,N,Drug,19.8288,12.8304,N
25,LR,Drug,11.664,8.1648,N
